projectGroupId,suggestedSlug,suggestedTitle,mainImage,images,layoutType,style,color,material,city,priceFrom,days,description,task,solution,result,confidence,needs_review
portfolio-uglovaya-kuhnya-sovremennaya-001,uglovaya-kuhnya-sovremennaya-001,Угловая кухня белая в современном стиле,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-belaya-001-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-belaya-001-main.webp,uglovaya-kuhnya,sovremennaya,belaya,unknown,,,,,,,,medium,true
portfolio-uglovaya-kuhnya-neoklassika-002,uglovaya-kuhnya-neoklassika-002,Угловая кухня белая в стиле неоклассика,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-belaya-002-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-belaya-002-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\uglovaya-kuhnya-neoklassika-belaya-002-side-004.webp,uglovaya-kuhnya,neoklassika,belaya,unknown,,,,,,,,high,false
portfolio-pryamaya-kuhnya-minimalizm-003,pryamaya-kuhnya-minimalizm-003,Прямая кухня комбинированная в стиле минимализм,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-003-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-003-side-005.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-003-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-003-extra-02-007.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-kombinacii-003-extra-03-008.webp,pryamaya-kuhnya,minimalizm,kombinacii,unknown,,,,,,,,medium,true
portfolio-pryamaya-kuhnya-minimalizm-004,pryamaya-kuhnya-minimalizm-004,Прямая кухня белая в стиле минимализм,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-004-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-004-main.webp,pryamaya-kuhnya,minimalizm,belaya,unknown,,,,,,,,medium,true
portfolio-kuhnya-s-ostrovom-minimalizm-005,kuhnya-s-ostrovom-minimalizm-005,Кухня с островом белая в стиле минимализм,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\kuhnya-s-ostrovom-minimalizm-belaya-005-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\kuhnya-s-ostrovom-minimalizm-belaya-005-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\kuhnya-s-ostrovom-minimalizm-belaya-005-side-011.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\kuhnya-s-ostrovom-minimalizm-belaya-005-extra-02-012.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\kuhnya-s-ostrovom-minimalizm-belaya-005-extra-03-013.webp,kuhnya-s-ostrovom,minimalizm,belaya,unknown,,,,,,,,medium,true
portfolio-pryamaya-kuhnya-minimalizm-006,pryamaya-kuhnya-minimalizm-006,Прямая кухня белая в стиле минимализм,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-006-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-006-side-014.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-006-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-006-detail-016.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-006-detail-017.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-belaya-006-extra-04-018.webp,pryamaya-kuhnya,minimalizm,belaya,unknown,,,,,,,,medium,true
portfolio-uglovaya-kuhnya-sovremennaya-007,uglovaya-kuhnya-sovremennaya-007,Угловая кухня комбинированная в современном стиле,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-kombinacii-007-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\uglovaya-kuhnya-sovremennaya-kombinacii-007-main.webp,uglovaya-kuhnya,sovremennaya,kombinacii,unknown,,,,,,,,low,true
portfolio-pryamaya-kuhnya-sovremennaya-008,pryamaya-kuhnya-sovremennaya-008,Прямая кухня комбинированная в современном стиле,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-008-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-sovremennaya-kombinacii-008-main.webp,pryamaya-kuhnya,sovremennaya,kombinacii,unknown,,,,,,,,medium,true
portfolio-kuhnya-s-ostrovom-sovremennaya-009,kuhnya-s-ostrovom-sovremennaya-009,Кухня с островом комбинированная в современном стиле,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-sovremennaya-kombinacii-009-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-sovremennaya-kombinacii-009-extra-00-021.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-sovremennaya-kombinacii-009-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-sovremennaya-kombinacii-009-extra-02-023.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-sovremennaya-kombinacii-009-extra-03-024.webp,kuhnya-s-ostrovom,sovremennaya,kombinacii,unknown,,,,,,,,high,false
portfolio-pryamaya-kuhnya-minimalizm-010,pryamaya-kuhnya-minimalizm-010,Прямая кухня зелёная в стиле минимализм,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-zelenaya-010-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-zelenaya-010-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\needs-review\pryamaya-kuhnya-minimalizm-zelenaya-010-side-026.webp,pryamaya-kuhnya,minimalizm,zelenaya,unknown,,,,,,,,medium,true
portfolio-kuhnya-s-ostrovom-minimalizm-011,kuhnya-s-ostrovom-minimalizm-011,Кухня с островом белая в стиле минимализм,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-main.webp,C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-extra-00-027.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-side-028.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-main.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-extra-03-030.webp|C:\Users\User\Desktop\kuhni-na-zakaz\prepared-images\portfolio\kuhnya-s-ostrovom-minimalizm-belaya-011-extra-04-031.webp,kuhnya-s-ostrovom,minimalizm,belaya,unknown,,,,,,,,high,false
