originalPath,originalFileName,status,width,height,fileSize,format,quality,duplicateOf,reason
E:\фото кухни 3\IMG_20220924_212953.jpg,IMG_20220924_212953.jpg,needs_review,4000,3000,2610624,jpg,good,,"Кухня видна хорошо, но стиль и готовность проекта требуют ручной проверки."
E:\фото кухни 3\IMG_20220924_212958.jpg,IMG_20220924_212958.jpg,rejected,4000,3000,2552111,jpg,good,E:\фото кухни 3\IMG_20220924_212953.jpg,Почти дубль по perceptual hash; оставлено фото с лучшим разрешением/размером.
E:\фото кухни 3\IMG_20221107_230427.jpg,IMG_20221107_230427.jpg,accepted,4000,3000,2125865,jpg,good,,"Одна угловая белая кухня с филёнчатыми фасадами, два ракурса."
E:\фото кухни 3\IMG_20221107_230437.jpg,IMG_20221107_230437.jpg,accepted,4000,3000,2225599,jpg,good,,"Одна угловая белая кухня с филёнчатыми фасадами, два ракурса."
E:\фото кухни 3\IMG_20221111_191433.jpg,IMG_20221111_191433.jpg,needs_review,4000,3000,2295757,jpg,good,,"Компактная прямая кухня, часть кадров показывает монтаж/техническую нишу."
E:\фото кухни 3\IMG_20221111_191435.jpg,IMG_20221111_191435.jpg,needs_review,4000,3000,2345349,jpg,good,,"Компактная прямая кухня, часть кадров показывает монтаж/техническую нишу."
E:\фото кухни 3\IMG_20221111_191447.jpg,IMG_20221111_191447.jpg,needs_review,3000,4000,2367149,jpg,good,,"Компактная прямая кухня, часть кадров показывает монтаж/техническую нишу."
E:\фото кухни 3\IMG_20221111_191458.jpg,IMG_20221111_191458.jpg,needs_review,3000,4000,2490184,jpg,good,,"Компактная прямая кухня, часть кадров показывает монтаж/техническую нишу."
E:\фото кухни 3\IMG_20221115_001435.jpg,IMG_20221115_001435.jpg,needs_review,3000,4000,1933490,jpg,good,,"Один вертикальный кадр, кухня видна не полностью."
E:\фото кухни 3\IMG_20221130_185228.jpg,IMG_20221130_185228.jpg,needs_review,3000,4000,2035965,jpg,good,,"Видна островная/полуостровная зона; нужна проверка, является ли это островом."
E:\фото кухни 3\IMG_20221130_185329.jpg,IMG_20221130_185329.jpg,needs_review,3000,4000,2561116,jpg,good,,"Видна островная/полуостровная зона; нужна проверка, является ли это островом."
E:\фото кухни 3\IMG_20221130_185335.jpg,IMG_20221130_185335.jpg,needs_review,3000,4000,1961277,jpg,good,,"Видна островная/полуостровная зона; нужна проверка, является ли это островом."
E:\фото кухни 3\IMG_20221130_185411.jpg,IMG_20221130_185411.jpg,needs_review,3000,4000,2057585,jpg,good,,"Видна островная/полуостровная зона; нужна проверка, является ли это островом."
E:\фото кухни 3\IMG_20221213_150859.jpg,IMG_20221213_150859.jpg,needs_review,4000,3000,2117784,jpg,good,,"Серия одной прямой кухни, есть детальные кадры столешницы и мойки."
E:\фото кухни 3\IMG_20221213_150907.jpg,IMG_20221213_150907.jpg,needs_review,4000,3000,1871592,jpg,good,,"Серия одной прямой кухни, есть детальные кадры столешницы и мойки."
E:\фото кухни 3\IMG_20221213_150915.jpg,IMG_20221213_150915.jpg,needs_review,4000,3000,2421863,jpg,good,,"Серия одной прямой кухни, есть детальные кадры столешницы и мойки."
E:\фото кухни 3\IMG_20221213_150925.jpg,IMG_20221213_150925.jpg,needs_review,4000,3000,2382286,jpg,good,,"Серия одной прямой кухни, есть детальные кадры столешницы и мойки."
E:\фото кухни 3\IMG_20221213_150937.jpg,IMG_20221213_150937.jpg,needs_review,3000,4000,1898007,jpg,good,,"Серия одной прямой кухни, есть детальные кадры столешницы и мойки."
E:\фото кухни 3\IMG_20230502_181606.jpg,IMG_20230502_181606.jpg,needs_review,3000,4000,2033618,jpg,good,,"Кухня частично видна, один кадр."
E:\фото кухни 3\IMG_20230606_183429.jpg,IMG_20230606_183429.jpg,needs_review,4000,3000,2250906,jpg,good,,Один кадр небольшой прямой кухни.
E:\фото кухни 3\IMG_20230721_220421.jpg,IMG_20230721_220421.jpg,accepted,3000,4000,1806102,jpg,good,,Одна кухня с островной/барной зоной и несколькими ракурсами.
E:\фото кухни 3\IMG_20230721_220427.jpg,IMG_20230721_220427.jpg,accepted,4000,3000,1972229,jpg,good,,Одна кухня с островной/барной зоной и несколькими ракурсами.
E:\фото кухни 3\IMG_20230721_220455.jpg,IMG_20230721_220455.jpg,accepted,3000,4000,1859451,jpg,good,,Одна кухня с островной/барной зоной и несколькими ракурсами.
E:\фото кухни 3\IMG_20230721_220500.jpg,IMG_20230721_220500.jpg,accepted,3000,4000,2241618,jpg,good,,Одна кухня с островной/барной зоной и несколькими ракурсами.
E:\фото кухни 3\IMG_20230808_175518.jpg,IMG_20230808_175518.jpg,needs_review,2448,3264,1069787,jpg,good,,"Кухня в процессе монтажа, требуется подтверждение финального вида."
E:\фото кухни 3\IMG_20230808_175551.jpg,IMG_20230808_175551.jpg,needs_review,3000,4000,2603508,jpg,good,,"Кухня в процессе монтажа, требуется подтверждение финального вида."
E:\фото кухни 3\IMG_20230818_122540.jpg,IMG_20230818_122540.jpg,accepted,3000,4000,1955521,jpg,good,,"Одна кухня с островом, рифлёными фасадами и встроенной техникой."
E:\фото кухни 3\IMG_20230818_122545.jpg,IMG_20230818_122545.jpg,accepted,3000,4000,2356133,jpg,good,,"Одна кухня с островом, рифлёными фасадами и встроенной техникой."
E:\фото кухни 3\IMG_20230818_122551.jpg,IMG_20230818_122551.jpg,accepted,4000,3000,2158949,jpg,good,,"Одна кухня с островом, рифлёными фасадами и встроенной техникой."
E:\фото кухни 3\IMG_20230818_122600.jpg,IMG_20230818_122600.jpg,accepted,3000,4000,2121568,jpg,good,,"Одна кухня с островом, рифлёными фасадами и встроенной техникой."
E:\фото кухни 3\IMG_20230818_122607.jpg,IMG_20230818_122607.jpg,accepted,3000,4000,2249911,jpg,good,,"Одна кухня с островом, рифлёными фасадами и встроенной техникой."
E:\фото кухни 3\IMG_20230821_163631.jpg,IMG_20230821_163631.jpg,accepted,3000,4000,2347695,jpg,good,,"Одна зелёная угловая кухня в светлом интерьере, несколько ракурсов."
E:\фото кухни 3\IMG_20230821_163637.jpg,IMG_20230821_163637.jpg,accepted,3000,4000,2136097,jpg,good,,"Одна зелёная угловая кухня в светлом интерьере, несколько ракурсов."
E:\фото кухни 3\IMG_20230821_163642.jpg,IMG_20230821_163642.jpg,accepted,4000,3000,2361493,jpg,good,,"Одна зелёная угловая кухня в светлом интерьере, несколько ракурсов."
E:\фото кухни 3\IMG_20230901_011421.jpg,IMG_20230901_011421.jpg,needs_review,4000,3000,1867090,jpg,good,,"Фасады в защитной плёнке, финальный цвет/стиль нужно подтвердить."
E:\фото кухни 3\IMG_20230901_011435.jpg,IMG_20230901_011435.jpg,needs_review,4000,3000,2378786,jpg,good,,"Фасады в защитной плёнке, финальный цвет/стиль нужно подтвердить."
E:\фото кухни 3\IMG_20230902_231004.jpg,IMG_20230902_231004.jpg,accepted,4000,3000,1972803,jpg,good,,Угловая бежевая кухня с филёнчатыми фасадами.
E:\фото кухни 3\IMG_20230902_231007.jpg,IMG_20230902_231007.jpg,accepted,4000,3000,2420557,jpg,good,,Угловая бежевая кухня с филёнчатыми фасадами.
E:\фото кухни 3\IMG_20230907_201447.jpg,IMG_20230907_201447.jpg,needs_review,3000,4000,1983994,jpg,good,,"Одна угловая кухня, часть кадров затемнена."
E:\фото кухни 3\IMG_20230907_201451.jpg,IMG_20230907_201451.jpg,needs_review,3000,4000,2052941,jpg,good,,"Одна угловая кухня, часть кадров затемнена."
E:\фото кухни 3\IMG_20230907_234843.jpg,IMG_20230907_234843.jpg,needs_review,3000,4000,2709410,jpg,good,,"Одна угловая кухня, часть кадров затемнена."
E:\фото кухни 3\IMG_20230927_215343.jpg,IMG_20230927_215343.jpg,accepted,2448,3264,991106,jpg,good,,Одна прямая современная кухня с подсветкой и контрастными элементами.
E:\фото кухни 3\IMG_20230927_215354.jpg,IMG_20230927_215354.jpg,accepted,2448,3264,922364,jpg,good,,Одна прямая современная кухня с подсветкой и контрастными элементами.
E:\фото кухни 3\IMG_20230927_215402.jpg,IMG_20230927_215402.jpg,accepted,2448,3264,1012451,jpg,good,,Одна прямая современная кухня с подсветкой и контрастными элементами.
E:\фото кухни 3\IMG_20230927_215557.jpg,IMG_20230927_215557.jpg,accepted,2448,3264,983263,jpg,good,,Одна прямая современная кухня с подсветкой и контрастными элементами.
E:\фото кухни 3\IMG_20230929_194731.jpg,IMG_20230929_194731.jpg,accepted,2448,3264,1097629,jpg,good,,"Одна зелёная угловая кухня в светлом интерьере, несколько ракурсов."
E:\фото кухни 3\IMG_20231007_183632.jpg,IMG_20231007_183632.jpg,accepted,2448,3264,1250982,jpg,good,,Угловая кухня до потолка со встроенной техникой.
E:\фото кухни 3\IMG_20231007_183636.jpg,IMG_20231007_183636.jpg,accepted,2448,3264,1278048,jpg,good,,Угловая кухня до потолка со встроенной техникой.
E:\фото кухни 3\IMG_20231016_130646.jpg,IMG_20231016_130646.jpg,accepted,2448,3264,1230663,jpg,good,,Одна прямая современная кухня с подсветкой и контрастными элементами.
E:\фото кухни 3\IMG_20231214_011859.jpg,IMG_20231214_011859.jpg,needs_review,3000,4000,2262255,jpg,good,,"Фасады в защитной плёнке, финальный цвет/стиль нужно подтвердить."
E:\фото кухни 3\IMG_20231214_011918.jpg,IMG_20231214_011918.jpg,needs_review,3000,4000,2241634,jpg,good,,"Фасады в защитной плёнке, финальный цвет/стиль нужно подтвердить."
E:\фото кухни 3\IMG_20231223_231352.jpg,IMG_20231223_231352.jpg,accepted,2448,3264,1033646,jpg,good,,"Одна угловая кухня до потолка, два ракурса."
E:\фото кухни 3\IMG_20231223_231401.jpg,IMG_20231223_231401.jpg,accepted,2448,3264,1047838,jpg,good,,"Одна угловая кухня до потолка, два ракурса."
E:\фото кухни 3\IMG_20231225_175812.jpg,IMG_20231225_175812.jpg,needs_review,4000,3000,3019053,jpg,good,,"Деревянный классический внешний вид, материал фасадов не подтверждён."
E:\фото кухни 3\IMG_20231225_175818.jpg,IMG_20231225_175818.jpg,needs_review,4000,3000,3089212,jpg,good,,"Деревянный классический внешний вид, материал фасадов не подтверждён."
E:\фото кухни 3\IMG_20231229_213510.jpg,IMG_20231229_213510.jpg,needs_review,2448,3264,1132722,jpg,good,,Один кадр белой кухни с филёнчатыми фасадами.
E:\фото кухни 3\IMG_20240412_172822.jpg,IMG_20240412_172822.jpg,needs_review,3264,2448,1045596,jpg,good,,"Один широкоугольный кадр, кухня видна хорошо, но нужны финальные подтверждения."
E:\фото кухни 3\IMG_20240905_233738.jpg,IMG_20240905_233738.jpg,needs_review,3264,2448,1243370,jpg,good,,"Кухня в процессе монтажа, часть помещения не завершена."
E:\фото кухни 3\IMG_20240912_234416.jpg,IMG_20240912_234416.jpg,needs_review,2448,3264,1222131,jpg,good,,"Кухня в процессе монтажа, часть помещения не завершена."
E:\фото кухни 3\IMG_20240927_112720.jpg,IMG_20240927_112720.jpg,needs_review,3264,2448,1252369,jpg,good,,Угловая кухня с бетонным потолком и тёмно-деревянными элементами; стиль loft требует подтверждения.
E:\фото кухни 3\IMG_20240927_112734.jpg,IMG_20240927_112734.jpg,needs_review,3264,2448,1310482,jpg,good,,Угловая кухня с бетонным потолком и тёмно-деревянными элементами; стиль loft требует подтверждения.
E:\фото кухни 3\IMG_20240927_112741.jpg,IMG_20240927_112741.jpg,needs_review,2448,3264,1398034,jpg,good,,Угловая кухня с бетонным потолком и тёмно-деревянными элементами; стиль loft требует подтверждения.
E:\фото кухни 3\IMG_20241108_211337.jpg,IMG_20241108_211337.jpg,accepted,3264,2448,1169021,jpg,good,,"Одна угловая кухня с деревянной столешницей, два ракурса."
E:\фото кухни 3\IMG_20241108_211345.jpg,IMG_20241108_211345.jpg,accepted,2448,3264,1029641,jpg,good,,"Одна угловая кухня с деревянной столешницей, два ракурса."
E:\фото кухни 3\IMG_20241117_171434.jpg,IMG_20241117_171434.jpg,accepted,4000,3000,1916615,jpg,good,,"Серая кухня с островом, подсветкой и встроенной техникой."
E:\фото кухни 3\IMG_20241117_171437.jpg,IMG_20241117_171437.jpg,accepted,4000,3000,2306501,jpg,good,,"Серая кухня с островом, подсветкой и встроенной техникой."
E:\фото кухни 3\IMG_20241216_195156.jpg,IMG_20241216_195156.jpg,needs_review,3000,4000,2802933,jpg,good,,"Кадры в процессе ремонта, финальный вид нужно подтвердить."
E:\фото кухни 3\IMG_20241216_195202.jpg,IMG_20241216_195202.jpg,needs_review,3000,4000,2299896,jpg,good,,"Кадры в процессе ремонта, финальный вид нужно подтвердить."
E:\фото кухни 3\IMG_20241221_010713.jpg,IMG_20241221_010713.jpg,needs_review,3264,2448,942256,jpg,good,,"Один широкоугольный кадр, планировка требует ручной проверки."
E:\фото кухни 3\IMG_20241224_181828.jpg,IMG_20241224_181828.jpg,needs_review,3264,2448,1693951,jpg,good,,"Жилой кадр с большим количеством предметов, пригодность для каталога требует отбора."
E:\фото кухни 3\IMG_20241224_181834.jpg,IMG_20241224_181834.jpg,needs_review,3264,2448,1916608,jpg,good,,"Жилой кадр с большим количеством предметов, пригодность для каталога требует отбора."
E:\фото кухни 3\IMG_20250104_192432.jpg,IMG_20250104_192432.jpg,accepted,3264,2448,963512,jpg,good,,"Угловая бежевая кухня, два похожих ракурса."
E:\фото кухни 3\IMG_20250104_192437.jpg,IMG_20250104_192437.jpg,accepted,3264,2448,1212763,jpg,good,,"Угловая бежевая кухня, два похожих ракурса."
E:\фото кухни 3\IMG_20250123_193523.jpg,IMG_20250123_193523.jpg,needs_review,3000,4000,2352114,jpg,good,,"Небольшая кухня с барной/островной зоной, категория требует подтверждения."
E:\фото кухни 3\IMG_20250310_192307.jpg,IMG_20250310_192307.jpg,needs_review,3264,2448,974372,jpg,good,,"Фасады частично в защитной плёнке, финальный вид нужно подтвердить."
E:\фото кухни 3\IMG_20250310_192321.jpg,IMG_20250310_192321.jpg,needs_review,3264,2448,1002596,jpg,good,,"Фасады частично в защитной плёнке, финальный вид нужно подтвердить."
E:\фото кухни 3\IMG_20250530_173736.jpg,IMG_20250530_173736.jpg,needs_review,3264,2448,1346203,jpg,good,,"Небольшая угловая кухня, фото на этапе ремонта."
E:\фото кухни 3\IMG_20250530_173812.jpg,IMG_20250530_173812.jpg,needs_review,3264,2448,1260905,jpg,good,,"Небольшая угловая кухня, фото на этапе ремонта."
E:\фото кухни 3\IMG_20250530_173817.jpg,IMG_20250530_173817.jpg,needs_review,3264,2448,1301062,jpg,good,,"Небольшая угловая кухня, фото на этапе ремонта."
E:\фото кухни 3\IMG_20251024_184538.jpg,IMG_20251024_184538.jpg,needs_review,3264,2448,1291754,jpg,good,,Один кадр небольшой угловой кухни.
E:\фото кухни 3\photo_2026-04-29_18-20-36.jpg,photo_2026-04-29_18-20-36.jpg,needs_review,1280,960,78444,jpg,medium,,"Серия фото среднего разрешения, нужна проверка качества."
E:\фото кухни 3\photo_2026-04-29_18-20-37.jpg,photo_2026-04-29_18-20-37.jpg,needs_review,1280,960,73127,jpg,medium,,"Серия фото среднего разрешения, нужна проверка качества."
